station;year;parameter;25% quantile;median;75% quantile;std_dev;rel_std_dev;outliers;values;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19;Spalte20;Spalte21;Spalte22;Spalte23;Spalte24;Spalte25;Spalte26;Spalte27;Spalte28;Spalte29;Spalte30;Spalte31;Spalte32;Spalte33;Spalte34;Spalte35;Spalte36;Spalte37;Spalte38;Spalte39;Spalte40;Spalte41;Spalte42;Spalte43;Spalte44;Spalte45;Spalte46;Spalte47;Spalte48;Spalte49;Spalte50;Spalte51;Spalte52;Spalte53;Spalte54;Spalte55;Spalte56;Spalte57;Spalte58;Spalte59;Spalte60;Spalte61;Spalte62;Spalte63;Spalte64;Spalte65;Spalte66;Spalte67;Spalte68;Spalte69;Spalte70;Spalte71;Spalte72;Spalte73;Spalte74;Spalte75;Spalte76;Spalte77
Porte du Scex;2020;Azoxystrobin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Benzothiazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Benzothiazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Benzothiazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Benzotriazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Bezafibrat;0.012;0.024;0.034;0.014467923;63.01215963;[];0.028;0.041;0.029;0.033;0.038;0.016;0.024;0.025;0.035;0.036;0.051;0.025;0.036;0.031;0.036;0.054;0.049;0.025;0.039;0.038;0.026;0.045;0.042;0.022;0.041;0.034;0.017;0.032;0.025;0.016;0.027;0.021;0;0.01;0;0.008;0.008;0;0.006;0.009;0;0;0.01;0;0.012;0.01;0;0.018;0.012;0;0.009;0.012;0.013;0.016;0.019;0.015;0.024;0.024;0.016;0.033;0.03;0.0155;0.034;0.02;0.028;0.051;0.033;0.0135;0.029;0.022;0;0.04;0.024;0;0.037;0.047;;
Porte du Scex;2020;Bezafibrat;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Bezafibrat;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Boscalid;0.012;0.02075;0.036;0.014472969;63.83328258;[];0.048;0.048;0.036;0.039;0.025;0.04;0.015;0.017;0.024;0.029;0.0205;0.038;0.022;0.022;0.02;0.041;0.048;0.037;0.046;0.045;0.062;0.043;0.0225;0.035;0.021;0.011;0.017;0.013;0;0.011;0.011;0.014;0;0.01;0;0.011;0.012;0;0.011;0.011;0;0.009;0.012;0.016;0.017;0.023;0;0.023;0.009;0;0.019;0.013;0;0.016;0.021;0;0.02;0.018;0.012;0.017;0.02;0.019;0.026;0.034;0.036;0.012;0.038;0.025;0.025;0.025;0.0245;0.027;0.027;0.041;0.036;0.039;0.054;0.039
Porte du Scex;2019;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Carbamazepin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Carbamazepin;0;0;0;0.001072174;497.0990223;[0.006, 0.005];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Carbamazepin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Carbendazim;0.09525;0.175;0.255;0.109166911;57.2033697;[0.54];0.42;0.27;0.25;0.19;0.24;0.29;0.3;0.36;0.37;0.54;0.42;0.24;0.31;0.24;0.3;0.28;0.24;0.24;0.17;0.18;0.11;0.075;0.053;0.057;0.058;0.068;0.068;0.09;0.082;0.08;0.1;0.089;0.097;0.089;0.086;0.13;0.11;0.12;0.2;0.19;0.16;0.1;0.14;0.17;0.18;0.15;0.21;0.14;0.2;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Carbendazim;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Chloridazon;0.097;0.17;0.28;0.106475629;54.56448035;[];0.29;0.32;0.35;0.17;0.27;0.27;0.35;0.25;0.25;0.32;0.41;0.34;0.28;0.42;0.34;0.19;0.14;0.097;0.083;0.097;0.087;0.065;0.047;0.072;0.079;0.087;0.069;0.11;0.076;0.11;0.097;0.061;0.16;0.12;0.14;0.12;0.16;0.11;0.11;0.17;0.19;0.18;0.075;0.24;0.19;0.27;0.34;0.28;0.22;0.3;0.38;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Chloridazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Chloridazon;0;0;0;0.001208709;212.5660001;[0.005];0;0;0;0;0;0.003;0.002;0.002;0.002;0.003;0.005;0.003;0.003;0.003;0;0;0;0;0;0;0;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
